color_name,color_id
AGUAMARINA,236
AMARILLO,03
AMARILLO CURRY,172
AMARILLO CURRY/NEGRO,17202
AMARILLO FLUOR,221
AMARILLO FLUOR VIGORE,249
AMARILLO FLUOR/MARINO,22155
AMARILLO FLUOR/NEGRO,22102
AMARILLO FLUOR/NEGRO VIGORE,221243
AMARILLO GOLDEN,96
AMARILLO MAÍZ,163
AMARILLO SWEET,73
AMARILLO SWEET LAVADO,801
AMARILLO/MARINO,0355
AMARILLO/NEGRO,0302
AMARILLO/ROYAL,0305
ANGORA,229
ARENA,07
ARENA OSCURO,219
ARENA OSCURO/PLOMO OSCURO,21946
ARÁNDANO,777
AZUL CALMA,171
AZUL COBALTO/AMARILLO GOLDEN,20196
AZUL DANUBIO,110
AZUL DENIM,86
AZUL DUSTY,267
AZUL ELECTRICO,99
AZUL LAB,44
AZUL LAGO,430
AZUL LAVADO,126
AZUL LUZ DE LUNA,45
AZUL OCEANO,100
AZUL PROFUNDIDAD,43
AZUL RIVIERA,261
AZUL SWEET,101
AZUL TORMENTA,170
AZUL ZEN,263
AZULINA,65
AÑOS VERDE OASIS,14
BANDERA ALEMANIA,651
BANDERA ESPAÑA,157
BANDERA FRANCIA,158
BANDERA ITALIA,161
BANDERA PORTUGAL,162
BANDERA REINO UNIDO,652
BEIGE,06
BLANCO,01
BLANCO CENIZA VIGORE,177
BLANCO PERLA,011
BLANCO VIGORE,013
BLANCO VINTAGE,132
BLANCO/CORAL FLUOR VIGORE,01244
BLANCO/MARINO,0155
BLANCO/NEGRO,0102
BLANCO/NEGRO VIGORE,01243
BLANCO/PLOMO OSCURO,0146
BLANCO/PRINT BOTANICO,01166
BLANCO/ROJO,0160
BLANCO/ROYAL,0105
BLANCO/TURQUESA,0112
BLANCO/VERDE HELECHO,01226
BORGOÑA,64
BORGOÑA/BLANCO,6401
BORGOÑA/BORGOÑA VIGORE,64238
CAMEL,85
CELESTE,10
CELESTE/BLANCO,1001
CELESTE/CELESTE,1010
CELESTE/MARINO,1055
CHOCOLATE,87
CORAL,120
CORAL FLUOR,234
CORAL FLUOR VIGORE,244
CORAL FLUOR/NEGRO,23402
DENIM VIGORE,255
EBANO,231
EBANO VIGORE,237
EBANO/EBANO,231231
EBANO/EBANO VIGORE,231237
EBANO/NEGRO,23102
EBANO/TURQUESA,23112
